,image_files,exercise_label,numeric_labels,partition
13852,deadlift_1000001.jpg,deadlift,0.0,train
13851,deadlift_100001.jpg,deadlift,0.0,test
13850,deadlift_1000011.jpg,deadlift,0.0,train
13849,deadlift_1000021.jpg,deadlift,0.0,train
13848,deadlift_1000031.jpg,deadlift,0.0,train
13847,deadlift_1000041.jpg,deadlift,0.0,train
13846,deadlift_1000051.jpg,deadlift,0.0,train
13845,deadlift_1000061.jpg,deadlift,0.0,validation
13844,deadlift_1000071.jpg,deadlift,0.0,validation
13843,deadlift_1000081.jpg,deadlift,0.0,train
13842,deadlift_1000091.jpg,deadlift,0.0,test
13841,deadlift_1000101.jpg,deadlift,0.0,train
13840,deadlift_100011.jpg,deadlift,0.0,validation
13839,deadlift_1000111.jpg,deadlift,0.0,validation
13838,deadlift_1000121.jpg,deadlift,0.0,validation
13837,deadlift_1000131.jpg,deadlift,0.0,train
13836,deadlift_1000141.jpg,deadlift,0.0,validation
13835,deadlift_100021.jpg,deadlift,0.0,test
13834,deadlift_100031.jpg,deadlift,0.0,train
13833,deadlift_100041.jpg,deadlift,0.0,train
13832,deadlift_100051.jpg,deadlift,0.0,train
13831,deadlift_100061.jpg,deadlift,0.0,train
13830,deadlift_100071.jpg,deadlift,0.0,validation
13829,deadlift_100081.jpg,deadlift,0.0,test
13828,deadlift_100091.jpg,deadlift,0.0,train
13827,deadlift_100101.jpg,deadlift,0.0,test
13826,deadlift_100111.jpg,deadlift,0.0,validation
13825,deadlift_100121.jpg,deadlift,0.0,train
13824,deadlift_100131.jpg,deadlift,0.0,test
13823,deadlift_100141.jpg,deadlift,0.0,train
13822,deadlift_1100001.jpg,deadlift,0.0,train
13821,deadlift_1100011.jpg,deadlift,0.0,train
13820,deadlift_1100021.jpg,deadlift,0.0,test
13819,deadlift_1100031.jpg,deadlift,0.0,train
13818,deadlift_1100041.jpg,deadlift,0.0,train
13817,deadlift_1100051.jpg,deadlift,0.0,validation
13816,deadlift_1100061.jpg,deadlift,0.0,train
13815,deadlift_1100071.jpg,deadlift,0.0,test
13814,deadlift_1100081.jpg,deadlift,0.0,train
13813,deadlift_1100091.jpg,deadlift,0.0,validation
13812,deadlift_1100101.jpg,deadlift,0.0,train
13811,deadlift_1100111.jpg,deadlift,0.0,test
13810,deadlift_1200001.jpg,deadlift,0.0,test
13809,deadlift_1200011.jpg,deadlift,0.0,test
13808,deadlift_1200021.jpg,deadlift,0.0,train
13807,deadlift_1200031.jpg,deadlift,0.0,train
13806,deadlift_1200041.jpg,deadlift,0.0,validation
13805,deadlift_1200051.jpg,deadlift,0.0,train
13804,deadlift_1200061.jpg,deadlift,0.0,test
13803,deadlift_1200071.jpg,deadlift,0.0,train
13802,deadlift_1200081.jpg,deadlift,0.0,validation
13801,deadlift_1300001.jpg,deadlift,0.0,train
13800,deadlift_1300011.jpg,deadlift,0.0,validation
13799,deadlift_1300021.jpg,deadlift,0.0,train
13798,deadlift_1300031.jpg,deadlift,0.0,validation
13797,deadlift_1300041.jpg,deadlift,0.0,validation
13796,deadlift_1300051.jpg,deadlift,0.0,train
13795,deadlift_1300061.jpg,deadlift,0.0,train
13794,deadlift_1300071.jpg,deadlift,0.0,train
13793,deadlift_1300081.jpg,deadlift,0.0,train
13792,deadlift_1300091.jpg,deadlift,0.0,train
13791,deadlift_1300101.jpg,deadlift,0.0,train
13790,deadlift_1300111.jpg,deadlift,0.0,train
13789,deadlift_1300121.jpg,deadlift,0.0,train
13788,deadlift_1300131.jpg,deadlift,0.0,train
13787,deadlift_1300141.jpg,deadlift,0.0,train
13786,deadlift_1300151.jpg,deadlift,0.0,train
13785,deadlift_1300161.jpg,deadlift,0.0,train
13784,deadlift_1300171.jpg,deadlift,0.0,train
13783,deadlift_1300181.jpg,deadlift,0.0,train
13782,deadlift_1300191.jpg,deadlift,0.0,test
13781,deadlift_1300201.jpg,deadlift,0.0,train
13780,deadlift_1300211.jpg,deadlift,0.0,train
13779,deadlift_1300221.jpg,deadlift,0.0,test
13778,deadlift_1300231.jpg,deadlift,0.0,train
13777,deadlift_1300241.jpg,deadlift,0.0,train
13776,deadlift_1300251.jpg,deadlift,0.0,train
13775,deadlift_1400001.jpg,deadlift,0.0,train
13774,deadlift_1400011.jpg,deadlift,0.0,validation
13773,deadlift_1400021.jpg,deadlift,0.0,train
13772,deadlift_1400031.jpg,deadlift,0.0,train
13771,deadlift_1400041.jpg,deadlift,0.0,train
13770,deadlift_1400051.jpg,deadlift,0.0,validation
13769,deadlift_1400061.jpg,deadlift,0.0,train
13768,deadlift_1400071.jpg,deadlift,0.0,train
13767,deadlift_1400081.jpg,deadlift,0.0,train
13766,deadlift_1400091.jpg,deadlift,0.0,train
13765,deadlift_1400101.jpg,deadlift,0.0,test
13764,deadlift_1400111.jpg,deadlift,0.0,test
13763,deadlift_1400121.jpg,deadlift,0.0,validation
13762,deadlift_1400131.jpg,deadlift,0.0,test
13761,deadlift_1400141.jpg,deadlift,0.0,train
13760,deadlift_1500001.jpg,deadlift,0.0,validation
13759,deadlift_1500011.jpg,deadlift,0.0,train
13758,deadlift_1500021.jpg,deadlift,0.0,train
13757,deadlift_1500031.jpg,deadlift,0.0,validation
13756,deadlift_1500041.jpg,deadlift,0.0,train
13755,deadlift_1500051.jpg,deadlift,0.0,validation
13754,deadlift_1500061.jpg,deadlift,0.0,validation
13753,deadlift_1600001.jpg,deadlift,0.0,validation
13752,deadlift_1600011.jpg,deadlift,0.0,train
13751,deadlift_1600021.jpg,deadlift,0.0,train
13750,deadlift_1600031.jpg,deadlift,0.0,test
13749,deadlift_1600041.jpg,deadlift,0.0,train
13748,deadlift_1600051.jpg,deadlift,0.0,test
13747,deadlift_1600061.jpg,deadlift,0.0,test
13746,deadlift_1600071.jpg,deadlift,0.0,test
13745,deadlift_1600081.jpg,deadlift,0.0,train
13744,deadlift_1600091.jpg,deadlift,0.0,validation
13743,deadlift_1600101.jpg,deadlift,0.0,train
13742,deadlift_1700001.jpg,deadlift,0.0,train
13741,deadlift_1700011.jpg,deadlift,0.0,train
13740,deadlift_1700021.jpg,deadlift,0.0,train
13739,deadlift_1700031.jpg,deadlift,0.0,validation
13738,deadlift_1700041.jpg,deadlift,0.0,train
13737,deadlift_1700051.jpg,deadlift,0.0,validation
13736,deadlift_1700061.jpg,deadlift,0.0,train
13735,deadlift_1700071.jpg,deadlift,0.0,validation
13734,deadlift_1700081.jpg,deadlift,0.0,validation
13733,deadlift_1700091.jpg,deadlift,0.0,train
13732,deadlift_1700101.jpg,deadlift,0.0,train
13731,deadlift_1700111.jpg,deadlift,0.0,validation
13730,deadlift_1700121.jpg,deadlift,0.0,train
13729,deadlift_1700131.jpg,deadlift,0.0,test
13728,deadlift_1700141.jpg,deadlift,0.0,train
13727,deadlift_1800001.jpg,deadlift,0.0,test
13726,deadlift_1800011.jpg,deadlift,0.0,train
13725,deadlift_1800021.jpg,deadlift,0.0,validation
13724,deadlift_1800031.jpg,deadlift,0.0,train
13723,deadlift_1800041.jpg,deadlift,0.0,train
13722,deadlift_1800051.jpg,deadlift,0.0,test
13721,deadlift_1800061.jpg,deadlift,0.0,validation
13720,deadlift_1800071.jpg,deadlift,0.0,train
13719,deadlift_1800081.jpg,deadlift,0.0,train
13718,deadlift_1800091.jpg,deadlift,0.0,validation
13717,deadlift_1900001.jpg,deadlift,0.0,train
13716,deadlift_1900011.jpg,deadlift,0.0,test
13715,deadlift_1900021.jpg,deadlift,0.0,train
13714,deadlift_1900031.jpg,deadlift,0.0,train
13713,deadlift_1900041.jpg,deadlift,0.0,train
13712,deadlift_1900051.jpg,deadlift,0.0,test
13711,deadlift_2000001.jpg,deadlift,0.0,train
13710,deadlift_200001.jpg,deadlift,0.0,validation
13709,deadlift_2000011.jpg,deadlift,0.0,train
13708,deadlift_2000021.jpg,deadlift,0.0,train
13707,deadlift_2000031.jpg,deadlift,0.0,test
13706,deadlift_2000041.jpg,deadlift,0.0,train
13705,deadlift_200011.jpg,deadlift,0.0,train
13704,deadlift_200021.jpg,deadlift,0.0,validation
13703,deadlift_200031.jpg,deadlift,0.0,train
13702,deadlift_200041.jpg,deadlift,0.0,train
13701,deadlift_200051.jpg,deadlift,0.0,train
13700,deadlift_200061.jpg,deadlift,0.0,validation
13699,deadlift_200071.jpg,deadlift,0.0,train
13698,deadlift_200081.jpg,deadlift,0.0,test
13697,deadlift_200091.jpg,deadlift,0.0,train
13696,deadlift_200101.jpg,deadlift,0.0,train
13695,deadlift_200111.jpg,deadlift,0.0,train
13694,deadlift_200121.jpg,deadlift,0.0,validation
13693,deadlift_200131.jpg,deadlift,0.0,test
13692,deadlift_2100001.jpg,deadlift,0.0,validation
13691,deadlift_2100011.jpg,deadlift,0.0,train
13690,deadlift_2100021.jpg,deadlift,0.0,validation
13689,deadlift_2100031.jpg,deadlift,0.0,test
13688,deadlift_2100041.jpg,deadlift,0.0,train
13687,deadlift_2100051.jpg,deadlift,0.0,test
13686,deadlift_2100061.jpg,deadlift,0.0,train
13685,deadlift_2100071.jpg,deadlift,0.0,train
13684,deadlift_2100081.jpg,deadlift,0.0,train
13683,deadlift_2100091.jpg,deadlift,0.0,train
13682,deadlift_2100101.jpg,deadlift,0.0,train
13681,deadlift_2100111.jpg,deadlift,0.0,validation
13680,deadlift_2100121.jpg,deadlift,0.0,train
13679,deadlift_2100131.jpg,deadlift,0.0,train
13678,deadlift_2100141.jpg,deadlift,0.0,train
13677,deadlift_2100151.jpg,deadlift,0.0,test
13676,deadlift_2100161.jpg,deadlift,0.0,train
13675,deadlift_2100171.jpg,deadlift,0.0,train
13674,deadlift_2100181.jpg,deadlift,0.0,train
13673,deadlift_2200001.jpg,deadlift,0.0,train
13672,deadlift_2200011.jpg,deadlift,0.0,train
13671,deadlift_2200021.jpg,deadlift,0.0,train
